dataset,n_keys,index,config,size_in_bytes,rep,n_samples,build_time,eval_time,lookup_time,eval_accu,lookup_accu
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=128,max_error=512",4202576,2,20000000,5549009802,228761815,6137187698,4000417984058068,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=128,max_error=64",374833232,0,20000000,8066274691,898947675,3625708354,4000415621492627,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=128,max_error=64",374833232,1,20000000,8069595559,899458750,3630854194,4000415621492627,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=128,max_error=64",374833232,2,20000000,8066986880,901964197,3622866614,4000415621492627,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=16,max_error=512",12328784,0,20000000,7193233674,697677131,6094972133,4000421948051044,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=16,max_error=512",12328784,1,20000000,7141163095,697886310,6096040591,4000421948051044,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=16,max_error=512",12328784,2,20000000,7136006893,697879151,6097289166,4000421948051044,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=256,max_error=128",33355856,0,20000000,5672180041,565912012,4329194407,4000416121288004,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=256,max_error=128",33355856,1,20000000,5661933380,568570398,4324043578,4000416121288004,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=256,max_error=128",33355856,2,20000000,5630645744,556190303,4335188145,4000416121288004,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=256,max_error=16",4253428816,0,20000000,21641378321,5054577135,6031086067,4000414754469596,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=256,max_error=16",4253428816,0,20000000,22287683857,1875426657,7086961655,4000414754469596,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=256,max_error=16",4253428816,1,20000000,18497219855,1496373657,3537436021,4000414754469596,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=256,max_error=16",4253428816,2,20000000,15659949445,1501033220,3508582274,4000414754469596,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=256,max_error=256",32526416,0,20000000,5613778117,557848195,4666295312,4000418677693370,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=256,max_error=256",32526416,1,20000000,5626662180,546057177,4675337079,4000418677693370,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=256,max_error=256",32526416,2,20000000,5613607245,557903352,4661786534,4000418677693370,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=256,max_error=32",2919258192,0,20000000,12075451382,1527829616,3595136928,4000415003539431,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=256,max_error=32",2919258192,1,20000000,16754108617,1281986412,3618159737,4000415003539431,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=256,max_error=32",2919258192,2,20000000,16773731392,1280271847,3618960349,4000415003539431,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=256,max_error=512",28910672,0,20000000,5614814135,485301034,4927457514,4000423746256677,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=256,max_error=512",28910672,1,20000000,5611834209,484802069,4928444053,4000423746256677,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=256,max_error=512",28910672,2,20000000,5611459386,484526896,4927385429,4000423746256677,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=256,max_error=64",424702032,0,20000000,7285657767,744382276,3731427630,4000415014036161,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=256,max_error=64",424702032,1,20000000,7294054157,728584854,3740646572,4000415014036161,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=256,max_error=64",424702032,2,20000000,7295742973,739224268,3739426662,4000415014036161,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=32,max_error=512",22888784,0,20000000,6567949315,750145435,5580774662,4000422349294157,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=32,max_error=512",22888784,1,20000000,6560973456,759857532,5584901761,4000422349294157,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=32,max_error=512",22888784,2,20000000,6586660143,759418504,5582917106,4000422349294157,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=512,max_error=128",232308816,0,20000000,6390340872,715606062,3488556241,4000416855599819,2000207222435828
