dataset,layer1,layer2,n_models,mean_ae,median_ae,stdev_ae,min_ae,max_ae
fb_200M_uint64,radix,linear_spline,32768,9.99862e+07,99986214,5.77271e+07,0,199972513
fb_200M_uint64,radix,linear_spline,65536,9.99633e+07,99963277,5.77139e+07,0,199926759
fb_200M_uint64,radix,linear_spline,131072,205743,220260,85099.9,0,374972
fb_200M_uint64,radix,linear_spline,262144,205743,220260,85099.9,0,374972
fb_200M_uint64,radix,linear_spline,524288,205743,220260,85099.9,0,374972
fb_200M_uint64,radix,linear_spline,1048576,205743,220260,85099.9,0,374972
fb_200M_uint64,radix,linear_spline,2097152,205743,220260,85099.9,0,374972
fb_200M_uint64,radix,linear_spline,4194304,205743,220260,85099.9,0,374972
fb_200M_uint64,radix,linear_spline,8388608,205743,220260,85099.9,0,374972
fb_200M_uint64,radix,linear_spline,16777216,205743,220260,85099.9,0,374972
fb_200M_uint64,radix,linear_spline,33554432,205743,220260,85099.9,0,374972
fb_200M_uint64,radix,linear_regression,64,4.90983e+07,49099593,2.83465e+07,0,98203457
fb_200M_uint64,radix,linear_regression,128,4.90983e+07,49099593,2.83465e+07,0,98203457
fb_200M_uint64,radix,linear_regression,256,4.90983e+07,49099593,2.83465e+07,0,98203457
fb_200M_uint64,radix,linear_regression,512,4.90983e+07,49099593,2.83465e+07,0,98203457
fb_200M_uint64,radix,linear_regression,1024,4.90983e+07,49099593,2.83465e+07,0,98203457
fb_200M_uint64,radix,linear_regression,2048,4.90983e+07,49099593,2.83465e+07,0,98203457
fb_200M_uint64,radix,linear_regression,4096,4.90983e+07,49099593,2.83465e+07,0,98203457
fb_200M_uint64,radix,linear_regression,8192,4.90983e+07,49099593,2.83465e+07,0,98203457
fb_200M_uint64,radix,linear_regression,16384,4.88323e+07,48833999,2.81928e+07,0,97673187
fb_200M_uint64,radix,linear_regression,32768,4.4605e+07,44612930,2.57502e+07,0,89244405
fb_200M_uint64,radix,linear_regression,65536,1.95926e+07,19634781,1.12976e+07,0,39365243
fb_200M_uint64,radix,linear_regression,131072,116998,103844,78143.6,0,324884
fb_200M_uint64,radix,linear_regression,262144,116998,103844,78143.6,0,324884
fb_200M_uint64,radix,linear_regression,524288,116998,103844,78143.6,0,324884
fb_200M_uint64,radix,linear_regression,1048576,116998,103844,78143.6,0,324884
fb_200M_uint64,radix,linear_regression,2097152,116998,103844,78143.6,0,324884
fb_200M_uint64,radix,linear_regression,4194304,116998,103844,78143.6,0,324884
fb_200M_uint64,radix,linear_regression,8388608,116998,103844,78143.6,0,324884
fb_200M_uint64,radix,linear_regression,16777216,116998,103844,78143.6,0,324884
fb_200M_uint64,radix,linear_regression,33554432,116998,103844,78143.6,0,324884
osm_cellids_200M_uint64,linear_spline,linear_spline,64,7.54867e+06,2335621,9.867e+06,0,31691462
osm_cellids_200M_uint64,linear_spline,linear_spline,128,4.37738e+06,1247766,5.83749e+06,0,20718009
osm_cellids_200M_uint64,linear_spline,linear_spline,256,2.35367e+06,676257,3.39966e+06,0,13195032
osm_cellids_200M_uint64,linear_spline,linear_spline,512,809695,332188,1.05794e+06,0,5159379
osm_cellids_200M_uint64,linear_spline,linear_spline,1024,448181,170458,718612,0,4644917
osm_cellids_200M_uint64,linear_spline,linear_spline,2048,314797,96997,654387,0,5240248
